id,text,label
1,"tau ga rumah tradisional laos kayak gimana? kayak gini! jadi selama di laos kita ngirip di kunta residense dimana tempat menginaannya itu di rumah tradisional laos atau disemput dengan Hongseng Laos Hongseng Laos ya begitu lah pokoknya jadi rumah ini adalah rumah panggung yang terbuat dari kayu, hardwood atau kayu keras bisa dari berbagai macam dan fondasinya itu ditarnem sampai ke bawah rumah yang dipakai di kunta herite sini itu adalah rumah lama yang usia ini sudah lebih dari 100 tahun kemudian dipindah ke sini dan kayunya itu masih bagus hanya saja di treatment ulang biar lebih kuat dan tahan lama meskipun dari luar terlihat dari kayu tapi pas masuk ke dalam wah ini mewah dan nyaman boy kenapa jadi kejajah go? tipi yang kita pilih adalah 2 kamar dimana po amaran guli guli hasurnya enak sudah itu tiap kamar ada kamar mania ada 2 wastafel tiap bagaimana mandi dan ada betapnya cuy terus buat kalian yang hobi masak bisa juga dilengkapi dengan dapur besar, lengkap dengan kompor rice cooker, microwave hingga toaster buat kita bikin roti dan di bagian bawahnya kita juga dapat mesin cuci sama kalau kita mau cuci-cuci ada singnya di sini jadi ini cocok banget buat yang bawa keluarga dan mau tinggal lama-lama di sini pertanyaannya berapa biaya saja untuk yang tipe 2 kamar yang kita pakai itu semalamnya 80USD untuk yang tipe 1 kamar bukan studio ya, 1 kamar itu 60USD dan buat temen-temen yang pengen cari makanan di depannya ada restoran T.I.M. Indonesia makanan Indonesia yang enak-enak banget sebenernya kalau dilihat-lihat mirip gasis sama rumah adat daya kalimantan tapi beda nya apa ya? kalau ada yang tau, coba komen di bawah berada di sini di laos",Surprise
2,"Wangdelin Jury, episode berikutnya akan dimulai. Sekarang kita di Laos, dan kita sudah ngambil mobil kita Ceri 2338 Promex dan 38 yang comfort. Nah pertanyaannya, gimana caranya mobil bisa kena kekit di Laos? Jadi kemarin kita dari Malaysia, Singapura, Thailand, Kambosya, Laos, terus Vietnam, mobil kita tinggal di Laos selama dua bulan. Emang bisa? Jawabannya? Nggak. Jadi untuk masuk ke Laos, kita itu nggak perlu pakai ckd karne. Karena Laos punya permitnya sendiri seperti ini, dan kita harus urus ini sebelum masuk ke Laos. Untungnya kita menggunakan agent, agent sudah mengurus semua ini dan kita wajib membayar sekitar 100USD per mobil. Jadi untuk dua mobil, kita membayar 200USD, tapi permitnya hanya berlaku untuk satu bulan saja. Nah sayangnya permitnya kan cuma sebulan. Gimana caranya biar jadi dua bulan? Kita coba carilah caranya. Kita kontak KBRI, B.A.C.U.K.A, agent termasuk juga ceri yang ada di Laos. Ternyata memang tidak bisa diperpanjang jadi dua bulan. Akhirnya kita melakukan sesuatu yang legal, dan kalian bisa tiru cara ini. Sebelum permitnya genap satu bulan, gue mengirim pala dan rahmat untuk ke Laos dan mengeluarkan mobilnya ke Thailand, kemudian sampai Thailand mobilnya harus masuk lagi ke Laos. Sehingga dia dapat permit lagi, rinyual satu bulan lagi. Emang sih agama hal, karena gue harus kirim gue orang ke sini, ditambah untuk masuk ke Laos, tambah lagi 100USD untuk per mobil, jadi kita kehawaran 200USD lagi. Tapi itu cara yang menurut gue paling aman dan legal. Setelah itu, mobil kita taruh lagi, titip lagi di cari Laos, setelah itu kita balik ke sini, kita mulai perjalanan ke China. Memang mahal, tapi itulah risiko overlaid. Jadi buat teman-teman, kalau misalkan kalian mau overlaid ke Llanegri, menggunakan mobil dari Plat B, sebisa mungkin ikut tip peraturan dan undang-undang yang berlaku. Jangan melanggar, karena nanti urusannya bisa repot, bahkan kita bisa nge-repotin KBRI dan mencorong nama Indonesia. Kalau overlaid, pasti ada aja kejadian-kejadian yang diluar dari pergerakan kita, sebisa mungkin carilah cara yang legal. Buat teman-teman yang pengen tau dan ikutin kesuruan kita pas lagi overlaid, bisa langsung aja follow akun ini. Gas!",Surprise
3,"Paya di rumah gue tuh agak aneh ya biasanya pond pepaya tuh kan lurus kata selia bercabang tapi kita lihat di sini jadi pepaya nya cabang tiga tuh liat 1,2,3 terus ada batan lagi yang ngebulet disini agak aneh tuh ini dia kayak ngebulet gitu bercabang lagi ya disini ada percabangan lagi ya bahkan di sebelah sana tuh ada percabangan banyak 1,2,3,4,5 dan tiap cabangnya itu ada daunnya sama ada pepaya nya tuh banyak banget pepaya nya sampai katas banyak banget wah semua rindu baru pertama kali ketemu kepayaan kaya gini dan runiknya ada di rumah sendiri kenapa bisa kaya gitu ya gue juga gak ngerti hehe enak doanya",Surprise
4,"udah sekitar 2 bulan ini, sampah organic di rumah kita olah pake ini ini namanya compost it jadi dia adalah alat penggiling sampah organic dan nanti hasilnya jadi kering bekas buah, bekas nasi, even sampai tulang-tulang ya tapi kalau tulang yang gede masih dipecahkan dulu terus nanti disini akan digiling kemudian nanti akan dikeringkan dan hasilnya itu gak ada bau dan gak mengundang lalat atau serangga dan macem-macem ya bisa dijadikan untuk compost atau media tanam secara intern gak perlu ditunggu lama pembusukan dan kawan-kawan apalagi dimasukin jadi biopori ini bener-bener instant caranya gampang banget, kalau kita punya sampah langsung aja dimasukin kesini nih kita tunjukin caranya ini pertama ada sampah sisah tulang ayam eh, bau kemudian ada sisah bekas bikin juice pake slow juicer ya ini ada kulit jeruk, sisah bekas matowa, bekas anggur wow, langsung kita masukin saja sekarang kita langsung tutup aja set, oh langsung otomatisnya lah oke, kita pencet aja on offnya, dia akan langsung ngegiling nah, sekarang udah jadi nih hari berikutnya ini dia hasilnya jadi kayak gini jadi dia tuh hasilnya kering, gak berbau dan bau-nya pun juga bau kayak jami ya kita bisa langsung pake ini buat media tanam buat pupuk kompos tanpa bau dan yang paling penting adalah kalau kita sebar di tanah dia tuh gak bikin laled, apalagi sampai ada belatungnya kalau gue biasanya dijadikan pupuk buat pohon, buat tanaman sama buat kandang ayam biar dia ada cakaran-cakaran yang di bagian bawah jadi budah kan buat temen-temen yang punya sampah organic di rumah pengen diolah sendiri, bisa dapet nilai tambah dari pupuk organic atau media tanamnya bisa langsung beli komposin aja buat temen-temen yang pengen coba juga, bisa langsung beli komposin aja jadi sampah organic dari rumah kalian itu gak langsung dibuang kita olah lagi biar bisa lebih bermanfaat dan tentunya saja ramah lingkungan gas!",Surprise
5,"jadi ini dia mobil yang akan kita pakai buat road party nanti baik bj40 plus yang sudah dipodifikasi dan kalau kalian lihat atas sudah kita buka pintu sudah diganti, bumper sudah kita ganti dan yang paling keren menurut gue adalah pemilihan Vellek sama bannya nah Vellek kita pakai Black Rhino motifnya itu seperti army style di mana dia punya pelindung di bagian sampingnya ini bisa dicopot dan bisa dipasak kalau misalkan kita lagi di jalanan berbatu terus barek-barek ini bisa kita ganti, nggak harus ganti sama pelek-peleknya dan untuk bannya sendiri dia pakai Delium Terra Rider ATX ini bang nggak cuma luksia keren ya kalau kita lihat kembangnya bagus samping kanan kirinya itu juga ada grip tambahannya kalau misalkan kita lagi offroad kita kempesin jadi nggak cuma luksia keren tapi fungsinya itu juga bisa diandalkan nah gimana? kalian bercamobin mau dipakai offroad? nah pakai aja Bandelium Bandlokal Kualitas Internasional",Proud
6,"Bapak ini jualan mihaya 4000 rupiah tapi bisa beli tanah untuk ke 6 anaknya. Perjalanan kulitnya ke Klaten kali ini tidak hanya membuat perut gue kenyang. Tapi gue juga bisa mendapatkan pelajaran hidup dari Bapak Suro. Sang penjual mihaya dengan harga murah. Jualan ini, bahkan untungnya sedikit. Tapi orang itu kalau nggak punya utang. Matanya apa pun enak. Jurniannya, anaknya 6, sekolah semua. Kalau semua, lu jangan. Tapi, ya, punya beli panah. Kenapa anaknya? Jadi, tiap anak udah punya tanah. Bapak beliin. Di teman nilai Tuan Hanif, kita penasaran banget dengan harga 4000 rupiah. Kira-kira apa saja sih isinya dan gimana ya rasanya? Sebenarnya 4000 nya kalau di Klaten tuh ya oke lah. Oke lah. Tapi ada bahasannya. Ayam, ada topping ayamnya. Ayamnya juga banyak. Ayamnya juga banyak. Tahun, makan jul. Enak untuk 4000 rupiah. Jawabnya kemran. Kalau lu makan nih ayam, harga 4000 rupiah. Poblik jangan banyak. Kenapa ini? Manen pahala, ini juga sih teman-teman. Itu, berlagi akan. Sebenarnya masih banyak cerita tentang Bapak Suro. Dan buat yang penasaran, Tonton saja video lengkapnya di YouTube channel Next Carlos.",Surprise
7,"Di boot cooling Gias 2025 ini ramai sekali, karena baru saja kita melakukan pengumuman pemenang dari pembentisi business move your hustle bersama Wuling Mitra IV Ya, ini artisiasmennya luar biasa banget menurut saya Minggu lalu kita tuh melakukan penjuriat Itu lebih kayak investor day Jadi kayak ayo invest di tempat kita, karena menyakitkan semua Selamat japan ya Da-dah Kebetulan saya adalah jurinya dan kemarin Sekitar beberapa minggu lalu kita sudah melakukan penjuriat itu seru banget Kayak investor day dibandingkan sebuah kompetisi business Rasanya kayak kita pakai chip in ke dalam Di sini kita juga bisa lihat Wuling Mitra IV yang sudah dimodifikasi sesuai dengan kebutuhan business anda Gue berharap dengan rekompetisi ini, itu bisa memutulkan pesa-pesa baru yang gak cuma mikir businessnya keren doang, tapi juga se-state dan bisa berkembang di Jakap Anjan Jangan lupa buat teman-teman yang penasaran dengan Wuling Mitra IV Bisa cek web satunya Wuling di Wuling.id",Proud
8,"Sebelumnya, pasertah top 10 move your hustle, business on the go competition sudah mempersentasikan proposal ide bisnisnya. Kini, juri akan berdiskusi untuk memilih pemenangnya. 10 ide bisnis, 3 juri ahli, satu misi mencari 3 terbaik. Kreativitasnya itu benar-benar diluar nalar. Banyak sekali ide-ide yang menurut saya itu bisa sangat mudah di aplikasikan dan bisa dibantu dengan gehadiran Wuling Mitra EV. Corelasi yang sangat menarik antara Wuling EV dengan bisnis-bisnis terserta tadi, misalkan bagaimana mengandalkan renewable energy, mengandalkan bagaimana sustainable environment. Overall semua desainnya menarik ya dan mereka itu punya utility masih ngasing, itu menjadikan kalau membeliunik, custom dan memang sudah disesuaikan dengan bisnisnya. Setelah melihat semua ide bisnis, akhirnya kami menemukan pemenangnya. Siapakah top 3 move your hustle? Tunggu pengumannya di 31 Juli pada saatias 2025.",Proud
9,"Harga Mitsubishi Destinator akhirnya diungkannya di Gias 2025 Dan harganya mulai dari Rp385 juta saja Kalian sudah bisa mendapatkan mesin C500CC Turbo dan transmisi CVT Automatic Kalau pengen yang lebih tinggi, tipe Exit itu di Rp405 juta Dan tipe Ultimate yang tertinggi itu di Rp465 juta Nah, ada juga varian yang premium Dimana harganya Rp30.5 juta dibandingkan dengan tipe Ultimate biasa Nah, ini kebetulan kita masuk ke dalam yang Ultimate Premium Bidaknya apa saja, kalau Ultimate Premium kita dapat Power Backdoor Terus dapat Electric Seat Sama, audio-nya sudah pakai Yamaha Premium Sound Tapi, kalau kalian beli Mitsubishi Destinator Solar Guard sudah dipercaya Mitsubishi untuk menjadi kaca film OEM dari Mitsubishi Destinator Jadi, langsung dapat kaca film Solar Guard yang bisa bikin Adam dan tampilan mobil jadi lebih keren Solar Guard sendiri merupakan bagian grup dari Sain Gobet Yang Bruce Yang sudah lebih dari 360 tahun Sedangkan, Solar Guard sendiri di Indonesia sudah 30 tahun lebih ada di sini Solar Guard sendiri memberikan garansi 5 tahun Udah gitu, dia ada banyak, ada di 76 kota di Indonesia Dan ada 167 outlet yang bisa kalian datang Jadi, gimana? Asik kan? Sudah pembilihan Destinator, sudah langsung dapat kaca film Solar Guard Ready to feel comfortable to your next destination",Trust
10,"Jadi selama kita di Thailand, Overland, kita sering banget ketemu Miux yang varian facelift terbaru ini Gue nanya-nanya, kapan ya masuk Indonesia ya? Dan akhirnya, di Gia sekali ini, nah, Isuzu Melouncing Isuzu Miux yang varian facelift Apa aja yang beda? Dari depan, kita akan menemukan bentuk depan yang baru Lampunya baru, grillnya baru, bumpernya baru Dan juga, logo Isuzu nya sekarang ada di atas grill seperti ini Kemudian ke bagian belakangnya, dia punya lampu belakang baru yang detailnya cakep Sama dia bagian sini itu nyambung mikanya Nah, ke bawah kita dapat bumper model baru Ya, ada diffuser di bagian sini sama kalau kita lihat ke bagian kaki-kakinya Yang memedakan New X dengan kompetitornya, adalah dia punya multi link suspension Bukan cuma 3 atau 4 link, tapi 5 link sekaligus Jadi pas kita pakai jalan, dia lebih nyaman, lebih stabil Dan ketika dipakai offload, dia juga lebih mantap Dari segi mesin, dia tetap mempertahankan mesin 1900 cc yang sudah teruji bandel Dan iri tentunya Ternyata 190 PS dan torsinya 350 nm Disambungkan dengan transmisi metik 6 percipatan Dan dia juga memiliki penggerak 4-wheel drive Dimana bisa diatur secara elektrik dan shift on-fly Kemudian dari segi interiornya, kita akan menemukan kursi yang nyaman untuk perjalanan jauh Transmisi otomatik dengan tip tronik Ada elektronik parking brake dan ada hoto-holt Kemudian untuk mengatur 4-wheel drive-nya, ada di bagian sini kita bisa atur 2H, 4H atau tekan untuk jadi 4L Sama ada mode off-road Dan dia juga sedang dilengkapi dengan hill-dison control Untuk ruang kabin tengah dan belakangnya, dia juga yang paling lega di kelasnya Udah gitu, kita tetap dapat AC di atas plafon Ga cuma di tengah, tapi di belakang juga Tapi yang paling spesial dari Izuzu Mu X itu adalah kemampuan off-roadnya Dia punya travel suspension yang tinggi, gun ground clearance yang tinggi Serta water-wading yang paling bagus di kelasnya Sehingga kalau kita pakai off-road atau bedan-bedan berat, dia bisa diadalkan Nah, buat teman-teman yang penasaran dan pengen lihat langsung bisa ke Gias 2025 Karena boot Izuzu ada di hall 1, langsung aja ke sini Dan kalian bisa test drive juga mobil ini di tepat test drive-nya Nah, penasaran kan langsung gas, ga pakai lama ke bootnya Izuzu di Gias 2025",Surprise
